                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2167,                 2.6728,                 1.9772,                 0.0195,                 0.8758,                0.37727,                0.15458,                 1.8446,                 2.7136,                 1.5695,                0.00044,                0.00044,                0.00044
                      2,                 1.9169,                 1.9142,                 1.7116,                0.56577,                0.29299,                0.38251,                0.14763,                  1.985,                 2.4567,                 1.8212,             0.00085545,             0.00085545,             0.00085545
                      3,                 1.9094,                 1.8314,                 1.7082,                0.50627,                0.47452,                0.42708,                0.15498,                 2.0508,                  2.144,                 1.9377,              0.0012254,              0.0012254,              0.0012254
                      4,                 1.8869,                  1.753,                 1.6886,                0.46788,                0.50318,                 0.4536,                 0.1723,                 2.0894,                 1.9932,                 1.7867,              0.0015497,              0.0015497,              0.0015497
                      5,                 1.8982,                 1.7163,                 1.6999,                0.61537,                0.50955,                0.53618,                0.24034,                 2.0239,                 2.2941,                 1.8851,               0.001604,               0.001604,               0.001604
                      6,                 1.8752,                 1.7282,                 1.6668,                0.67352,                 0.5414,                 0.6199,                 0.2588,                 1.9136,                 1.7588,                 1.7456,               0.001505,               0.001505,               0.001505
                      7,                 1.8589,                 1.6555,                 1.6743,                0.71602,                0.57325,                0.60638,                0.24197,                   2.06,                 1.9466,                 1.9362,               0.001406,               0.001406,               0.001406
                      8,                 1.8558,                 1.6321,                 1.6865,                0.74125,                0.56688,                0.64365,                0.29468,                 1.8994,                 1.7073,                 1.7361,               0.001307,               0.001307,               0.001307
                      9,                 1.8271,                 1.6172,                 1.6855,                0.73135,                0.61555,                0.65667,                0.31612,                 1.7928,                 1.5014,                 1.6365,               0.001208,               0.001208,               0.001208
                     10,                 1.7726,                 1.5452,                 1.6303,                0.72247,                 0.6465,                0.70118,                0.32568,                 1.8774,                 1.4787,                 1.7059,               0.001109,               0.001109,               0.001109
                     11,                 1.7501,                 1.4765,                 1.6195,                 0.7033,                0.64968,                0.71342,                0.33752,                 1.7954,                 1.4731,                 1.6664,                0.00101,                0.00101,                0.00101
                     12,                 1.7232,                 1.4028,                 1.6165,                0.85893,                 0.6051,                0.74562,                0.31834,                 1.8738,                 1.5435,                 1.6874,               0.000911,               0.000911,               0.000911
                     13,                 1.6997,                 1.3566,                 1.5617,                0.82581,                0.70962,                0.78704,                0.37757,                 1.7768,                 1.3419,                 1.5797,               0.000812,               0.000812,               0.000812
                     14,                 1.6488,                 1.2944,                  1.539,                 0.8173,                0.73885,                0.82336,                0.36871,                 1.8639,                  1.345,                  1.651,               0.000713,               0.000713,               0.000713
                     15,                 1.6762,                 1.2527,                 1.5478,                0.83394,                0.76752,                0.83939,                0.38314,                 1.7582,                 1.2885,                 1.5804,               0.000614,               0.000614,               0.000614
                     16,                 1.6349,                 1.2181,                 1.5419,                0.79316,                0.75159,                0.83098,                0.38048,                 1.7835,                 1.2899,                 1.6124,               0.000515,               0.000515,               0.000515
                     17,                 1.6035,                 1.1947,                 1.5204,                0.87734,                 0.7289,                0.83576,                0.42526,                 1.6981,                 1.1323,                 1.5364,               0.000416,               0.000416,               0.000416
                     18,                 1.6247,                 1.1701,                 1.5188,                0.82492,                0.79526,                0.85258,                0.40996,                 1.7489,                 1.1881,                 1.5735,               0.000317,               0.000317,               0.000317
                     19,                  1.559,                 1.1487,                 1.4905,                0.82838,                0.78344,                0.84146,                0.43619,                 1.6564,                 1.1029,                 1.5219,               0.000218,               0.000218,               0.000218
                     20,                  1.558,                 1.1176,                 1.4821,                0.81864,                0.83758,                0.87844,                0.43029,                 1.7148,                 1.1151,                   1.53,               0.000119,               0.000119,               0.000119
