                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2657,                 3.1046,                 1.3072,                0.00821,                0.87345,                0.14184,                0.07687,                0.93991,                 2.9774,                 1.2399,                  2e-05,                  2e-05,                  2e-05
                      2,                  1.198,                 2.9401,                 1.3185,                0.00878,                0.93466,                0.28665,                0.16566,                0.88155,                  2.928,                 1.1911,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 1.0746,                 2.8501,                  1.296,                0.00903,                0.96112,                0.43138,                0.27249,                0.82568,                 2.8725,                  1.145,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 0.6949,                  2.557,                 1.0646,                0.00914,                 0.9727,                0.50175,                 0.3239,                0.79794,                 2.8004,                 1.1113,             0.00013168,             0.00013168,             0.00013168
                      5,                0.90207,                 2.2406,                 1.1167,                0.00917,                0.97601,                0.53928,                0.35793,                0.77551,                 2.7163,                 1.0918,             0.00016574,             0.00016574,             0.00016574
                      6,                 0.8557,                 1.9395,                 1.0997,                0.10823,                0.79074,                0.57457,                0.38404,                0.79412,                  2.577,                 1.1059,             0.00019822,             0.00019822,             0.00019822
                      7,                0.96915,                  1.675,                 1.1056,                 0.7369,                0.42163,                0.60161,                0.39865,                0.83114,                 2.3497,                 1.1386,             0.00022911,             0.00022911,             0.00022911
                      8,                0.99485,                 1.5542,                 1.1602,                0.65281,                0.61869,                0.62384,                 0.4124,                0.89492,                 2.1294,                 1.1879,             0.00025842,             0.00025842,             0.00025842
                      9,                 0.8496,                 1.4847,                 1.0414,                0.65568,                0.64185,                0.62759,                0.41559,                0.92282,                 2.0827,                 1.2016,             0.00028614,             0.00028614,             0.00028614
                     10,                0.88948,                 1.4089,                 1.0863,                0.66997,                 0.6493,                0.63964,                0.42316,                0.95899,                 2.0654,                  1.233,             0.00031228,             0.00031228,             0.00031228
                     11,                0.79343,                 1.4634,                 1.0203,                0.68845,                0.60315,                0.62725,                 0.4157,                0.95772,                 2.0992,                 1.2252,             0.00033684,             0.00033684,             0.00033684
                     12,                0.79721,                  1.249,                   1.03,                0.73256,                0.53846,                0.62965,                 0.4146,                0.95882,                 2.1683,                 1.2127,             0.00035981,             0.00035981,             0.00035981
                     13,                0.85776,                 1.4415,                 1.0557,                0.79825,                0.42545,                0.60122,                0.40024,                0.98292,                 2.3222,                 1.2209,              0.0003812,              0.0003812,              0.0003812
                     14,                0.79797,                 1.4026,                 1.0885,                0.83019,                0.31927,                0.57165,                0.37076,                 1.0402,                 2.4447,                 1.2645,               0.000401,               0.000401,               0.000401
                     15,                0.53142,                 1.0897,                0.94168,                0.85148,                0.33195,                0.54914,                0.34603,                 1.1175,                 2.4668,                 1.3137,             0.00041922,             0.00041922,             0.00041922
                     16,                0.75991,                 1.1904,                0.98861,                0.82429,                0.37386,                0.56238,                0.34568,                 1.1293,                 2.4365,                 1.3167,             0.00043586,             0.00043586,             0.00043586
                     17,                0.70738,                 1.1285,                0.95366,                0.77798,                0.37099,                0.55385,                0.32464,                 1.1643,                 2.4452,                 1.3331,             0.00045091,             0.00045091,             0.00045091
                     18,                0.84631,                 1.5488,                 1.0029,                0.76599,                0.39259,                0.57603,                0.33905,                 1.1674,                 2.4135,                  1.334,             0.00046438,             0.00046438,             0.00046438
                     19,                0.82295,                 1.2069,                0.97826,                0.73382,                 0.4287,                0.58359,                 0.3455,                 1.1538,                 2.3439,                 1.3038,             0.00047626,             0.00047626,             0.00047626
                     20,                0.75634,                 1.1844,                0.98134,                0.69426,                0.47708,                0.57947,                0.34975,                 1.1582,                 2.2597,                 1.3001,             0.00048656,             0.00048656,             0.00048656
